vid,name,description,external_uri
islandora_media_use,"Extracted Text","A textual representation of the Object appropriate for fulltext indexing, such as a plaintext version of a document, or OCR text",http://pcdm.org/use#ExtractedText
islandora_media_use,"Intermediate File","High quality representation of the Object, appropriate for generating derivatives or other additional processing",http://pcdm.org/use#IntermediateFile
islandora_media_use,"Original File","The original creation format of a file",http://pcdm.org/use#OriginalFile
islandora_media_use,"Preservation Master File","Best quality representation of the Object appropriate for long-term preservation",http://pcdm.org/use#PreservationMasterFile
islandora_media_use,"Service File","A medium quality representation of the Object appropriate for serving to users",http://pcdm.org/use#ServiceFile
islandora_media_use,"Thumbnail Image","A low resolution image representation of the Object appropriate for using as an icon",http://pcdm.org/use#ThumbnailImage
islandora_media_use,"Transcript","A textual representation of the Object appropriate for presenting to users, such as subtitles or transcript of a video. Can be used as a substitute or complement to other files for accessibility purposes",http://pcdm.org/use#Transcript
islandora_models,"Audio","A resource primarily intended to be heard. Examples include a music playback file format, an audio compact disc, and recorded speech or sounds",http://purl.org/coar/resource_type/c_18cc
islandora_models,"Binary","A generic binary file for repository items that don't fall into any other category or cannot be shown in a browser",http://purl.org/coar/resource_type/c_1843
islandora_models,"Collection","A collection is an aggregation of items",http://purl.org/dc/dcmitype/Collection#Model
islandora_models,"Image","A visual representation other than text, including all types of moving image and still image",http://purl.org/coar/resource_type/c_c513
islandora_models,"Video","A recording of visual images, usually in motion and with sound accompaniment",http://purl.org/coar/resource_type/c_12ce
islandora_models,"Digital Document","An electronic file or document.",https://schema.org/DigitalDocument
islandora_models,"Paged Content","An Electronic Book, object with pages",https://schema.org/Book
islandora_models,"Page","A page in an Electronic Paged Content Object",http://id.loc.gov/ontologies/bibframe/part
islandora_models,"Publication Issue","A part of a successively published publication such as a periodical or publication volume, often numbered, usually containing a grouping of works such as articles.",https://schema.org/PublicationIssue
islandora_models,"Compound Object","A special type of collection where the parent item may also have complex metadata",http://vocab.getty.edu/aat/300242735
islandora_models,"Newspaper","A special type of collection which only has Newspaper Issues for children.",https://schema.org/Newspaper
islandora_display,"Open Seadragon","Display using the Open Seadragon viewer",http://openseadragon.github.io
islandora_display,"PDFjs","Display using the PDF.js viewer",http://mozilla.github.io/pdf.js
islandora_display,"Remote Video","Displays video from another site",https://github.com/Islandora/Crayfish/tree/dev/Homarus
resource_types,"Collection","An aggregation of resources",http://purl.org/dc/dcmitype/Collection
resource_types,"Dataset","Data encoded in a defined structure",http://purl.org/dc/dcmitype/Dataset
resource_types,"Image","A visual representation other than text",http://purl.org/dc/dcmitype/Image
resource_types,"Interactive Resource","A resource requiring interaction from the user to be understood, executed, or experienced",http://purl.org/dc/dcmitype/InteractiveResource
resource_types,"Moving Image","A series of visual representations imparting an impression of motion when shown in succession",http://purl.org/dc/dcmitype/MovingImage
resource_types,"Physical Object","An inanimate, three-dimensional object or substance",http://purl.org/dc/dcmitype/PhysicalObject
resource_types,"Service","A system that provides one or more functions",http://purl.org/dc/dcmitype/Service
resource_types,"Sound","A resource primarily intended to be heard",http://purl.org/dc/dcmitype/Sound
resource_types,"Still Image","A static visual representation",http://purl.org/dc/dcmitype/StillImage
resource_types,"Software","A computer program in source or compiled form",http://purl.org/dc/dcmitype/Software
resource_types,"Text","A resource consisting primarily of words for reading",http://purl.org/dc/dcmitype/Text
